@relation era
@attribute in1 integer [0, 14]
@attribute in2 integer [0, 14]
@attribute in3 integer [0, 13]
@attribute in4 integer [0, 14]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
7, 3, 7, 0, 2
13, 6, 12, 2, 6
5, 13, 0, 11, 6
12, 10, 12, 7, 8
12, 6, 4, 10, 4
5, 7, 3, 12, 1
13, 6, 12, 2, 5
1, 2, 12, 6, 7
14, 0, 6, 0, 2
0, 5, 7, 2, 2
10, 7, 1, 6, 6
9, 3, 10, 5, 4
0, 5, 7, 2, 6
13, 3, 6, 6, 3
9, 8, 5, 2, 6
0, 10, 12, 7, 2
0, 5, 7, 2, 1
8, 12, 6, 1, 7
7, 3, 7, 0, 1
3, 6, 2, 12, 3
5, 7, 3, 12, 3
5, 13, 0, 11, 4
12, 4, 9, 14, 3
2, 1, 5, 1, 1
5, 13, 0, 11, 2
14, 0, 6, 0, 4
12, 10, 12, 7, 7
2, 1, 5, 1, 1
11, 13, 10, 1, 7
13, 9, 2, 8, 4
7, 12, 6, 4, 3
12, 10, 12, 7, 7
3, 3, 5, 9, 1
12, 6, 4, 10, 5
10, 10, 6, 9, 6
9, 3, 10, 5, 4
13, 6, 12, 2, 6
1, 9, 4, 1, 5
10, 7, 1, 6, 4
12, 10, 12, 7, 8
1, 3, 10, 7, 2
2, 1, 5, 1, 4
9, 3, 10, 5, 4
14, 4, 8, 14, 7
12, 4, 9, 14, 5
3, 6, 2, 12, 2
3, 6, 2, 12, 2
13, 3, 6, 6, 5
0, 10, 12, 7, 5
12, 4, 5, 13, 4
7, 12, 6, 4, 6
2, 14, 2, 9, 3
7, 12, 6, 4, 5
7, 10, 8, 13, 3
3, 3, 5, 9, 2
14, 11, 13, 14, 9
2, 1, 5, 1, 2
2, 9, 7, 5, 3
12, 8, 7, 6, 6
14, 0, 6, 0, 4
9, 3, 10, 5, 3
3, 2, 0, 14, 1
9, 8, 5, 2, 4
13, 3, 6, 6, 5
10, 2, 13, 4, 3
12, 10, 12, 7, 6
1, 2, 12, 6, 3
11, 13, 10, 1, 7
10, 2, 13, 4, 3
12, 4, 5, 13, 5
1, 3, 10, 7, 2
1, 9, 4, 1, 1
12, 9, 10, 6, 8
12, 4, 9, 14, 5
10, 10, 6, 9, 5
9, 3, 10, 5, 3
13, 3, 6, 6, 4
2, 7, 9, 2, 6
8, 6, 4, 5, 3
1, 2, 12, 6, 1
8, 6, 4, 5, 6
9, 2, 7, 10, 5
14, 2, 4, 1, 3
10, 7, 1, 6, 5
13, 6, 12, 2, 4
13, 6, 12, 2, 3
11, 13, 10, 1, 7
12, 4, 9, 14, 4
2, 7, 9, 2, 5
10, 10, 6, 9, 3
1, 2, 12, 4, 2
1, 2, 12, 4, 2
11, 13, 10, 1, 1
5, 7, 3, 12, 5
12, 8, 7, 6, 5
12, 4, 5, 13, 4
12, 10, 12, 7, 2
9, 8, 5, 2, 4
9, 8, 5, 2, 3
12, 10, 12, 7, 7
