@relation era
@attribute in1 integer [0, 14]
@attribute in2 integer [0, 14]
@attribute in3 integer [0, 13]
@attribute in4 integer [0, 14]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
10, 13, 5, 0, 7
1, 3, 10, 7, 3
8, 5, 10, 2, 3
7, 3, 7, 0, 2
9, 3, 10, 5, 4
3, 2, 0, 14, 2
10, 2, 13, 4, 4
11, 13, 10, 1, 8
12, 4, 5, 13, 2
13, 9, 2, 8, 6
12, 6, 4, 10, 5
8, 12, 6, 1, 6
3, 2, 0, 14, 2
12, 8, 7, 6, 7
7, 12, 6, 4, 5
8, 5, 10, 2, 5
14, 4, 8, 14, 4
14, 4, 8, 14, 7
10, 13, 5, 0, 4
5, 7, 3, 12, 3
13, 6, 5, 0, 2
10, 13, 5, 0, 7
2, 7, 9, 2, 2
9, 8, 5, 2, 4
14, 11, 13, 14, 9
1, 2, 12, 6, 2
14, 11, 13, 14, 8
12, 8, 7, 6, 3
13, 6, 5, 0, 7
12, 4, 5, 13, 3
8, 6, 4, 5, 1
9, 3, 10, 5, 4
2, 9, 7, 5, 5
2, 7, 9, 2, 4
10, 3, 6, 14, 4
9, 8, 5, 2, 5
10, 10, 6, 9, 6
12, 8, 7, 6, 5
8, 5, 10, 2, 3
10, 2, 13, 4, 6
7, 12, 6, 4, 6
9, 3, 10, 5, 2
1, 2, 12, 6, 3
11, 13, 10, 1, 8
10, 2, 13, 4, 1
12, 10, 12, 7, 7
2, 14, 2, 9, 2
9, 8, 5, 2, 4
7, 3, 7, 0, 2
3, 6, 2, 12, 2
2, 14, 2, 9, 5
2, 14, 2, 9, 1
9, 2, 7, 10, 5
2, 14, 2, 9, 4
14, 11, 13, 14, 9
13, 9, 2, 8, 7
8, 5, 10, 2, 4
8, 6, 4, 5, 5
1, 3, 10, 7, 1
1, 9, 4, 1, 5
9, 8, 5, 2, 4
10, 7, 1, 6, 3
2, 14, 2, 9, 1
9, 8, 5, 2, 6
10, 7, 1, 6, 1
0, 5, 7, 2, 2
2, 9, 7, 5, 3
14, 4, 8, 14, 3
3, 2, 0, 14, 1
10, 10, 6, 9, 3
13, 6, 12, 2, 7
12, 10, 12, 7, 6
13, 9, 2, 8, 1
1, 9, 4, 1, 3
8, 6, 4, 5, 3
12, 4, 9, 14, 3
9, 3, 10, 5, 3
13, 3, 6, 6, 6
14, 4, 8, 14, 6
12, 9, 10, 6, 7
12, 4, 5, 13, 5
5, 7, 3, 12, 4
7, 12, 6, 4, 5
11, 13, 10, 1, 6
14, 0, 6, 0, 4
9, 3, 10, 5, 5
7, 10, 8, 13, 6
1, 9, 4, 1, 5
5, 7, 3, 12, 4
12, 4, 9, 14, 2
1, 2, 12, 6, 4
8, 12, 6, 1, 3
9, 8, 5, 2, 5
13, 9, 2, 8, 6
0, 10, 12, 7, 1
10, 7, 1, 6, 4
14, 2, 4, 1, 3
13, 3, 6, 6, 2
12, 4, 9, 14, 4
5, 7, 3, 12, 3
