@relation era
@attribute in1 integer [0, 14]
@attribute in2 integer [0, 14]
@attribute in3 integer [0, 13]
@attribute in4 integer [0, 14]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
2, 7, 9, 2, 2
12, 9, 10, 6, 5
14, 11, 13, 14, 9
12, 6, 4, 10, 3
9, 2, 7, 10, 6
10, 7, 1, 6, 4
2, 14, 2, 9, 5
7, 10, 8, 13, 6
10, 3, 6, 14, 4
13, 9, 2, 8, 7
10, 2, 13, 4, 3
2, 7, 9, 2, 3
3, 6, 2, 12, 1
12, 9, 10, 6, 7
5, 13, 0, 11, 4
8, 12, 6, 1, 5
0, 10, 12, 7, 3
5, 13, 0, 11, 6
1, 3, 10, 7, 2
8, 5, 10, 2, 5
1, 9, 4, 1, 5
10, 2, 13, 4, 5
12, 8, 7, 6, 6
12, 4, 9, 14, 4
5, 13, 0, 11, 7
7, 10, 8, 13, 4
14, 2, 4, 1, 3
7, 3, 7, 0, 1
1, 2, 12, 4, 1
13, 9, 2, 8, 6
12, 4, 9, 14, 5
12, 8, 7, 6, 6
14, 4, 8, 14, 5
7, 3, 7, 0, 3
3, 3, 5, 9, 2
12, 10, 12, 7, 4
13, 9, 2, 8, 6
13, 6, 12, 2, 4
13, 9, 2, 8, 4
3, 6, 2, 12, 7
2, 14, 2, 9, 1
1, 3, 10, 7, 2
9, 2, 7, 10, 4
14, 11, 13, 14, 9
2, 14, 2, 9, 3
14, 0, 6, 0, 1
2, 9, 7, 5, 1
7, 10, 8, 13, 3
10, 2, 13, 4, 5
1, 9, 4, 1, 6
7, 3, 7, 0, 4
13, 6, 5, 0, 4
7, 3, 7, 0, 3
13, 3, 6, 6, 5
12, 4, 5, 13, 6
12, 4, 5, 13, 5
1, 9, 4, 1, 3
8, 5, 10, 2, 2
7, 3, 7, 0, 2
14, 0, 6, 0, 2
9, 3, 10, 5, 1
7, 10, 8, 13, 6
13, 6, 12, 2, 3
12, 4, 5, 13, 7
12, 9, 10, 6, 8
14, 0, 6, 0, 3
12, 10, 12, 7, 7
14, 0, 6, 0, 3
3, 6, 2, 12, 2
9, 8, 5, 2, 7
0, 10, 12, 7, 5
11, 13, 10, 1, 7
2, 9, 7, 5, 3
12, 9, 10, 6, 8
1, 9, 4, 1, 4
1, 9, 4, 1, 2
1, 2, 12, 4, 1
9, 2, 7, 10, 5
0, 5, 7, 2, 3
11, 13, 10, 1, 8
3, 6, 2, 12, 2
1, 3, 10, 7, 2
12, 4, 5, 13, 4
13, 6, 12, 2, 4
3, 3, 5, 9, 1
9, 2, 7, 10, 6
14, 0, 6, 0, 2
12, 4, 9, 14, 7
8, 5, 10, 2, 4
13, 6, 5, 0, 5
12, 4, 5, 13, 4
13, 6, 5, 0, 2
2, 14, 2, 9, 4
13, 6, 5, 0, 5
12, 8, 7, 6, 2
7, 10, 8, 13, 3
0, 10, 12, 7, 6
9, 8, 5, 2, 4
3, 6, 2, 12, 3
13, 3, 6, 6, 3
