@relation era
@attribute in1 integer [0, 14]
@attribute in2 integer [0, 14]
@attribute in3 integer [0, 13]
@attribute in4 integer [0, 14]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
9, 3, 10, 5, 3
8, 12, 6, 1, 7
8, 12, 6, 1, 5
13, 6, 5, 0, 3
13, 6, 12, 2, 4
12, 8, 7, 6, 6
2, 14, 2, 9, 2
3, 3, 5, 9, 1
0, 10, 12, 7, 6
10, 3, 6, 14, 2
9, 2, 7, 10, 4
12, 8, 7, 6, 5
12, 9, 10, 6, 7
1, 3, 10, 7, 4
8, 5, 10, 2, 5
14, 2, 4, 1, 3
1, 9, 4, 1, 2
1, 2, 12, 4, 5
1, 2, 12, 4, 1
13, 6, 12, 2, 6
13, 6, 12, 2, 4
13, 9, 2, 8, 4
10, 10, 6, 9, 6
1, 2, 12, 4, 5
1, 9, 4, 1, 2
10, 7, 1, 6, 4
2, 7, 9, 2, 4
2, 7, 9, 2, 4
2, 1, 5, 1, 2
8, 5, 10, 2, 5
10, 13, 5, 0, 7
10, 10, 6, 9, 3
5, 13, 0, 11, 3
1, 2, 12, 4, 2
10, 7, 1, 6, 3
7, 12, 6, 4, 8
8, 12, 6, 1, 4
10, 7, 1, 6, 3
7, 10, 8, 13, 9
10, 7, 1, 6, 5
10, 3, 6, 14, 7
2, 1, 5, 1, 1
3, 2, 0, 14, 6
12, 10, 12, 7, 7
13, 6, 5, 0, 4
10, 13, 5, 0, 5
5, 7, 3, 12, 3
12, 4, 5, 13, 6
13, 9, 2, 8, 7
7, 10, 8, 13, 3
1, 2, 12, 6, 6
2, 1, 5, 1, 1
12, 10, 12, 7, 4
2, 7, 9, 2, 6
12, 8, 7, 6, 3
10, 10, 6, 9, 5
12, 10, 12, 7, 8
12, 8, 7, 6, 6
9, 3, 10, 5, 5
2, 9, 7, 5, 3
1, 2, 12, 4, 3
10, 3, 6, 14, 2
14, 11, 13, 14, 9
12, 10, 12, 7, 7
14, 2, 4, 1, 2
9, 2, 7, 10, 3
13, 6, 5, 0, 5
13, 9, 2, 8, 5
2, 9, 7, 5, 6
14, 11, 13, 14, 7
3, 6, 2, 12, 1
12, 10, 12, 7, 3
12, 8, 7, 6, 5
10, 13, 5, 0, 7
2, 14, 2, 9, 3
10, 7, 1, 6, 5
13, 6, 5, 0, 4
1, 2, 12, 6, 2
0, 10, 12, 7, 4
2, 1, 5, 1, 1
1, 2, 12, 6, 1
9, 2, 7, 10, 2
8, 6, 4, 5, 5
7, 10, 8, 13, 6
14, 2, 4, 1, 2
12, 6, 4, 10, 2
9, 3, 10, 5, 4
1, 2, 12, 6, 4
9, 2, 7, 10, 3
1, 2, 12, 6, 2
3, 2, 0, 14, 6
10, 3, 6, 14, 5
2, 1, 5, 1, 1
5, 13, 0, 11, 3
1, 3, 10, 7, 3
9, 8, 5, 2, 4
8, 12, 6, 1, 2
10, 3, 6, 14, 4
0, 10, 12, 7, 8
2, 1, 5, 1, 1
