@relation era
@attribute in1 integer [0, 14]
@attribute in2 integer [0, 14]
@attribute in3 integer [0, 13]
@attribute in4 integer [0, 14]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
14, 11, 13, 14, 8
12, 4, 9, 14, 4
2, 14, 2, 9, 9
2, 1, 5, 1, 4
3, 3, 5, 9, 3
2, 1, 5, 1, 1
14, 11, 13, 14, 9
8, 12, 6, 1, 5
10, 3, 6, 14, 2
7, 10, 8, 13, 4
3, 2, 0, 14, 1
1, 2, 12, 6, 1
7, 10, 8, 13, 8
7, 12, 6, 4, 6
14, 11, 13, 14, 6
10, 2, 13, 4, 4
11, 13, 10, 1, 7
12, 4, 9, 14, 4
2, 1, 5, 1, 3
10, 3, 6, 14, 3
0, 10, 12, 7, 7
2, 14, 2, 9, 5
10, 13, 5, 0, 7
3, 6, 2, 12, 5
0, 5, 7, 2, 1
12, 10, 12, 7, 5
13, 6, 12, 2, 3
0, 10, 12, 7, 2
2, 14, 2, 9, 5
0, 10, 12, 7, 4
9, 2, 7, 10, 4
12, 6, 4, 10, 6
14, 0, 6, 0, 1
10, 10, 6, 9, 5
8, 6, 4, 5, 1
7, 3, 7, 0, 1
9, 8, 5, 2, 2
2, 7, 9, 2, 1
14, 4, 8, 14, 3
13, 9, 2, 8, 5
5, 13, 0, 11, 5
2, 7, 9, 2, 2
13, 9, 2, 8, 5
10, 13, 5, 0, 5
7, 10, 8, 13, 7
1, 3, 10, 7, 3
3, 3, 5, 9, 6
10, 13, 5, 0, 7
12, 9, 10, 6, 6
10, 2, 13, 4, 7
8, 5, 10, 2, 2
13, 6, 12, 2, 3
13, 6, 5, 0, 3
2, 14, 2, 9, 6
1, 3, 10, 7, 2
8, 6, 4, 5, 6
2, 9, 7, 5, 4
1, 9, 4, 1, 3
2, 9, 7, 5, 4
0, 10, 12, 7, 5
14, 4, 8, 14, 4
10, 3, 6, 14, 4
2, 14, 2, 9, 5
13, 3, 6, 6, 2
10, 3, 6, 14, 7
2, 1, 5, 1, 2
1, 2, 12, 4, 3
0, 10, 12, 7, 5
10, 2, 13, 4, 3
10, 7, 1, 6, 3
12, 4, 5, 13, 6
12, 10, 12, 7, 8
12, 10, 12, 7, 6
2, 14, 2, 9, 7
9, 2, 7, 10, 2
10, 3, 6, 14, 7
8, 6, 4, 5, 3
10, 7, 1, 6, 6
1, 9, 4, 1, 2
12, 4, 5, 13, 4
12, 4, 5, 13, 4
0, 10, 12, 7, 4
10, 3, 6, 14, 5
9, 8, 5, 2, 4
10, 13, 5, 0, 6
5, 7, 3, 12, 2
14, 2, 4, 1, 3
10, 3, 6, 14, 2
14, 2, 4, 1, 2
8, 12, 6, 1, 5
12, 6, 4, 10, 3
3, 3, 5, 9, 3
12, 8, 7, 6, 4
2, 1, 5, 1, 1
10, 3, 6, 14, 2
14, 2, 4, 1, 4
7, 3, 7, 0, 3
7, 12, 6, 4, 5
10, 7, 1, 6, 3
1, 2, 12, 4, 3
