@relation era
@attribute in1 integer [0, 14]
@attribute in2 integer [0, 14]
@attribute in3 integer [0, 13]
@attribute in4 integer [0, 14]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
10, 3, 6, 14, 2
5, 13, 0, 11, 6
12, 6, 4, 10, 6
13, 9, 2, 8, 6
8, 6, 4, 5, 4
2, 7, 9, 2, 4
12, 10, 12, 7, 8
10, 13, 5, 0, 3
7, 3, 7, 0, 1
2, 9, 7, 5, 5
7, 12, 6, 4, 4
5, 13, 0, 11, 5
2, 14, 2, 9, 6
0, 10, 12, 7, 6
3, 2, 0, 14, 7
12, 9, 10, 6, 7
9, 8, 5, 2, 2
7, 10, 8, 13, 4
3, 6, 2, 12, 2
9, 3, 10, 5, 2
9, 3, 10, 5, 4
10, 7, 1, 6, 3
5, 13, 0, 11, 7
12, 4, 5, 13, 4
13, 3, 6, 6, 7
11, 13, 10, 1, 9
14, 2, 4, 1, 4
3, 3, 5, 9, 1
14, 0, 6, 0, 7
7, 3, 7, 0, 2
13, 9, 2, 8, 4
13, 6, 5, 0, 5
10, 13, 5, 0, 5
2, 9, 7, 5, 4
10, 10, 6, 9, 7
14, 2, 4, 1, 3
10, 13, 5, 0, 6
13, 3, 6, 6, 2
3, 2, 0, 14, 2
14, 2, 4, 1, 3
3, 6, 2, 12, 5
3, 2, 0, 14, 2
12, 4, 5, 13, 5
11, 13, 10, 1, 8
13, 6, 5, 0, 3
10, 10, 6, 9, 3
2, 14, 2, 9, 8
12, 4, 5, 13, 4
10, 3, 6, 14, 4
10, 7, 1, 6, 4
13, 3, 6, 6, 4
2, 14, 2, 9, 5
12, 6, 4, 10, 2
2, 14, 2, 9, 5
10, 2, 13, 4, 5
8, 12, 6, 1, 6
7, 12, 6, 4, 5
3, 2, 0, 14, 1
2, 7, 9, 2, 2
10, 7, 1, 6, 6
2, 1, 5, 1, 1
14, 11, 13, 14, 9
14, 2, 4, 1, 3
8, 6, 4, 5, 3
2, 1, 5, 1, 3
10, 2, 13, 4, 3
12, 4, 9, 14, 3
9, 2, 7, 10, 5
3, 6, 2, 12, 2
3, 6, 2, 12, 2
10, 10, 6, 9, 5
10, 10, 6, 9, 5
8, 12, 6, 1, 5
12, 8, 7, 6, 5
1, 2, 12, 6, 3
3, 2, 0, 14, 1
7, 3, 7, 0, 1
1, 9, 4, 1, 4
8, 12, 6, 1, 7
10, 13, 5, 0, 6
13, 3, 6, 6, 4
8, 5, 10, 2, 3
5, 7, 3, 12, 1
13, 3, 6, 6, 3
0, 10, 12, 7, 3
5, 13, 0, 11, 3
3, 2, 0, 14, 5
10, 10, 6, 9, 7
10, 10, 6, 9, 4
13, 6, 12, 2, 2
10, 2, 13, 4, 6
3, 2, 0, 14, 3
7, 12, 6, 4, 4
12, 6, 4, 10, 6
10, 3, 6, 14, 1
14, 0, 6, 0, 6
2, 7, 9, 2, 3
3, 6, 2, 12, 1
8, 5, 10, 2, 2
9, 3, 10, 5, 2
