@relation era
@attribute in1 integer [0, 14]
@attribute in2 integer [0, 14]
@attribute in3 integer [0, 13]
@attribute in4 integer [0, 14]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
12, 8, 7, 6, 7
9, 2, 7, 10, 6
8, 12, 6, 1, 6
13, 6, 12, 2, 3
2, 7, 9, 2, 2
2, 1, 5, 1, 3
1, 2, 12, 4, 2
9, 2, 7, 10, 5
3, 6, 2, 12, 4
5, 13, 0, 11, 4
7, 10, 8, 13, 5
13, 3, 6, 6, 5
8, 12, 6, 1, 4
1, 2, 12, 6, 2
3, 3, 5, 9, 2
8, 6, 4, 5, 4
0, 5, 7, 2, 1
14, 11, 13, 14, 3
14, 2, 4, 1, 3
0, 10, 12, 7, 1
0, 5, 7, 2, 2
10, 3, 6, 14, 6
3, 6, 2, 12, 3
10, 10, 6, 9, 5
13, 9, 2, 8, 6
0, 10, 12, 7, 7
9, 2, 7, 10, 2
12, 4, 9, 14, 5
13, 6, 12, 2, 6
1, 2, 12, 6, 5
14, 4, 8, 14, 4
7, 3, 7, 0, 3
12, 6, 4, 10, 5
3, 6, 2, 12, 3
10, 10, 6, 9, 5
10, 10, 6, 9, 4
3, 2, 0, 14, 1
12, 6, 4, 10, 3
14, 4, 8, 14, 6
12, 6, 4, 10, 2
1, 2, 12, 4, 3
11, 13, 10, 1, 9
14, 2, 4, 1, 7
12, 9, 10, 6, 7
2, 9, 7, 5, 2
10, 7, 1, 6, 3
1, 9, 4, 1, 3
0, 10, 12, 7, 4
0, 5, 7, 2, 1
10, 10, 6, 9, 4
2, 1, 5, 1, 1
9, 2, 7, 10, 4
8, 5, 10, 2, 8
12, 4, 5, 13, 5
1, 9, 4, 1, 6
1, 3, 10, 7, 6
0, 10, 12, 7, 1
1, 2, 12, 4, 2
3, 2, 0, 14, 1
12, 4, 5, 13, 5
8, 5, 10, 2, 3
7, 3, 7, 0, 3
11, 13, 10, 1, 7
12, 4, 9, 14, 7
2, 9, 7, 5, 4
8, 6, 4, 5, 2
8, 5, 10, 2, 5
12, 10, 12, 7, 5
1, 2, 12, 4, 4
5, 13, 0, 11, 4
1, 9, 4, 1, 4
14, 2, 4, 1, 2
11, 13, 10, 1, 7
5, 7, 3, 12, 6
8, 5, 10, 2, 5
13, 3, 6, 6, 3
0, 10, 12, 7, 5
2, 1, 5, 1, 2
0, 5, 7, 2, 1
10, 10, 6, 9, 6
3, 2, 0, 14, 3
10, 13, 5, 0, 8
9, 2, 7, 10, 4
10, 13, 5, 0, 4
13, 9, 2, 8, 6
2, 7, 9, 2, 3
12, 10, 12, 7, 8
1, 3, 10, 7, 2
13, 6, 5, 0, 4
3, 2, 0, 14, 1
7, 12, 6, 4, 6
14, 2, 4, 1, 2
10, 13, 5, 0, 5
5, 13, 0, 11, 4
12, 8, 7, 6, 7
7, 10, 8, 13, 5
10, 2, 13, 4, 3
8, 6, 4, 5, 3
9, 8, 5, 2, 8
2, 14, 2, 9, 1
