@relation esl
@attribute in1 integer [0, 9]
@attribute in2 integer [0, 9]
@attribute in3 integer [2, 8]
@attribute in4 integer [2, 8]
@attribute out1{1,2,3,4,5,6,7,8,9}
@inputs in1, in2, in3, in4
@outputs out1
@data
6, 3, 5, 5, 4
8, 7, 7, 5, 6
7, 6, 5, 6, 6
3, 3, 5, 4, 3
2, 1, 4, 5, 2
7, 8, 6, 7, 8
6, 6, 6, 5, 6
6, 7, 5, 4, 5
8, 7, 8, 7, 7
5, 5, 6, 7, 6
6, 7, 6, 6, 6
6, 5, 4, 5, 4
6, 4, 6, 6, 6
8, 5, 7, 6, 8
3, 4, 6, 5, 4
4, 3, 5, 5, 4
8, 7, 6, 7, 7
5, 4, 5, 6, 5
2, 2, 3, 4, 2
3, 3, 4, 4, 4
8, 4, 5, 5, 4
5, 6, 6, 7, 7
8, 7, 6, 6, 6
5, 6, 6, 6, 6
6, 5, 5, 5, 5
5, 6, 5, 6, 6
8, 6, 6, 5, 5
6, 7, 6, 6, 6
5, 5, 6, 5, 5
7, 7, 7, 7, 7
5, 5, 6, 5, 5
9, 8, 6, 7, 7
4, 3, 6, 6, 5
3, 3, 4, 5, 4
5, 7, 6, 6, 6
6, 6, 6, 6, 6
8, 7, 6, 7, 7
5, 2, 6, 6, 5
4, 3, 4, 4, 3
5, 6, 5, 5, 5
6, 4, 5, 6, 5
4, 4, 5, 5, 3
7, 7, 6, 4, 4
8, 6, 6, 6, 6
6, 6, 4, 4, 4
5, 5, 6, 6, 5
5, 4, 5, 5, 4
7, 6, 5, 5, 5
4, 4, 6, 8, 6
